year,item,details,url
2025,AGU Local Science Partner,Advocated for science to members of Congress in DC and WA,https://www.agu.org/honors/local-science-partners
2025,PNW Climate Ambassador,Science communication  training and outreach with the UW Program on Climate Change and Washington State Climate Office,
2023,AGU Voices for Science,12-month hands-on science policy engagement training program,https://www.agu.org/honors/voices-for-science
