start_year,grad_year,school,degree1,thesis1_type,thesis1_title,degree2,thesis2_type,thesis2_title,advisor1,advisor2
2022,2027,University of Washington,PhD: Earth and Space Science,Dissertation,"Developing Ice Core Paleoclimate Records
through the Miocene, Pliocene, and Pleistocene
in Antarctic Blue Ice Areas",,,,T.J. Fudge & Eric Steig,
2018,2022,Dartmouth College,B.E.: Engineering (Environmental Concentration),Capstone,Sustainable Shoebox Design,B.A.: Earth Science modified with Environmental Studies,Thesis,"Denali Record of Winter Aleutian Low Intensity and
North Pacific Temperature",,Erich Osterberg
